run_id,description,learning_rate,gamma,buffer_size,batch_size,exploration_fraction,exploration_final_eps,target_update_interval,net_arch,total_timesteps,mean_reward,std_reward,train_time_min
1,"Baseline — lr=1e-4, γ=0.99, buf=50k, batch=64, expl=0.2",0.0001,0.99,50000,64,0.2,0.05,500,"[256, 256]",120000,-364.1,122.56,0.74
2,"High LR — lr=5e-4, γ=0.99, buf=50k, batch=64, expl=0.2",0.0005,0.99,50000,64,0.2,0.05,500,"[256, 256]",120000,-365.6,123.54,0.75
3,"Very high LR — lr=1e-3, γ=0.99, buf=50k, batch=64, expl=0.2",0.001,0.99,50000,64,0.2,0.05,500,"[256, 256]",120000,-404.3,134.95,0.78
4,"Low γ — lr=1e-4, γ=0.90, buf=50k, batch=64, expl=0.2",0.0001,0.9,50000,64,0.2,0.05,500,"[256, 256]",120000,-393.1,171.48,0.84
5,"Small buffer — lr=1e-4, γ=0.99, buf=10k, batch=64, expl=0.2",0.0001,0.99,10000,64,0.2,0.05,500,"[256, 256]",120000,-364.1,122.56,0.79
6,"Large batch — lr=1e-4, γ=0.99, buf=50k, batch=128, expl=0.2",0.0001,0.99,50000,128,0.2,0.05,500,"[256, 256]",120000,-364.1,122.56,0.82
7,"Long exploration — lr=1e-4, γ=0.99, buf=50k, expl=0.40",0.0001,0.99,50000,64,0.4,0.05,500,"[256, 256]",120000,-364.1,122.56,0.76
8,"Short exploration — lr=1e-4, γ=0.99, buf=50k, expl=0.10",0.0001,0.99,50000,64,0.1,0.02,500,"[256, 256]",120000,-362.5,138.08,0.8
9,"Small net — lr=1e-4, γ=0.99, buf=50k, arch=[128,128]",0.0001,0.99,50000,64,0.2,0.05,500,"[128, 128]",120000,-364.1,122.56,0.64
10,"Tuned combo — lr=2e-4, γ=0.99, buf=100k, batch=128, arch=[256,256,128]",0.0002,0.99,100000,128,0.25,0.04,300,"[256, 256, 128]",120000,-368.1,132.34,1.04
